Age,Gender,Occupation,Annual_Income,District,City,Pincode,Policy_Type,Premium_Amount,Coverage_Amount,Vehicle_Type,Vehicle_Brand,Vehicle_Model,Vehicle_Year,Vehicle_Value,Days_to_Report,Accident_Time,Road_Type,Weather,Police_Report,FIR_Number,Witness_Count,Hospital_Name,Garage_Name,Repair_Cost,Medical_Cost,Total_Claim_Amount,Previous_Claims,Previous_Fraud_History,Investigator_Assigned,Fraud_Label,Policy_Start_Year,Policy_Start_Month,Accident_Year,Accident_Month,Claim_Year,Claim_Month
62,1,3,526651,0,0,600001,2,5534,760014,0,0,12,2013,1606874,8,2,3,1,1,2301,1,1,2,32513,95622,128135,5,0,0,0,2025,11,2025,11,2025,12
30,0,0,1122015,4,4,625001,2,10010,1368603,0,4,4,2024,2329151,0,2,1,0,1,821,2,1,3,90964,76180,167144,0,0,0,0,2025,8,2025,9,2025,9
24,1,5,1053457,6,6,613001,3,26102,2925151,2,3,0,2023,2103983,9,0,0,1,0,4079,2,0,0,201443,24286,225729,4,0,0,1,2025,9,2025,9,2025,10
54,0,0,263465,6,6,613001,1,10892,2741806,0,3,0,2014,2045863,9,1,2,3,1,743,0,3,1,74103,71535,145638,4,0,0,1,2025,12,2026,3,2026,3
34,0,5,1071550,7,7,620001,0,14226,364829,2,2,10,2020,891719,0,1,3,0,1,3475,0,1,3,46877,87830,134707,4,1,0,1,2025,10,2026,9,2026,9
56,0,5,365769,6,6,613001,2,3713,867764,1,4,5,2019,1588905,8,1,0,2,1,393,0,1,2,235821,85908,321729,3,0,0,1,2025,4,2025,8,2025,8
62,1,1,662845,9,9,632001,0,23900,1460590,1,4,4,2018,1037996,12,1,0,4,1,1009,3,0,3,180110,35552,215662,5,0,1,0,2025,7,2025,11,2025,12
57,0,2,1557723,2,2,624001,3,5922,2385907,0,3,0,2014,1975161,2,2,0,1,1,3071,3,1,4,203101,58593,261694,5,0,0,0,2025,1,2025,3,2025,3
58,0,0,2182001,1,1,641001,0,9234,1029707,2,0,14,2020,641150,4,3,3,4,1,2837,3,2,0,65644,25154,90798,0,0,0,0,2025,8,2026,2,2026,2
26,0,2,370876,7,7,620001,2,26180,317451,0,0,14,2017,396440,5,1,3,2,1,3061,3,1,3,51624,38752,90376,5,0,0,0,2025,6,2025,9,2025,9
28,1,1,1336579,1,1,641001,1,33136,333731,0,0,3,2021,1818008,3,0,3,4,1,1249,3,0,1,226316,15462,241778,2,0,0,0,2025,7,2026,2,2026,2
70,1,8,673552,8,8,641601,0,16790,1450969,2,2,10,2015,1524142,10,3,2,4,1,2700,0,2,1,104607,36219,140826,5,0,0,1,2025,6,2025,6,2025,7
24,1,0,288383,8,8,641601,2,18529,2652050,2,2,1,2014,1755550,1,0,2,4,1,3023,2,1,2,182191,33541,215732,0,0,1,0,2025,1,2025,8,2025,8
65,0,4,666700,7,7,620001,3,7496,2332184,1,0,12,2014,665983,4,1,2,3,1,1353,2,2,2,60135,52432,112567,4,0,0,0,2025,8,2026,2,2026,2
46,1,8,935010,5,5,636001,1,4100,1469778,0,2,1,2017,1299673,8,3,1,4,1,3840,0,2,4,46081,98456,144537,0,0,0,1,2025,5,2025,9,2025,9
39,0,2,952701,4,4,625001,0,35822,1557566,1,2,10,2013,1246428,9,3,3,3,1,3941,1,1,1,116822,1131,117953,5,0,0,0,2025,11,2026,8,2026,8
70,1,1,1639631,5,5,636001,2,7729,340866,1,4,6,2012,1910868,9,2,3,4,1,288,0,0,1,123595,89336,212931,3,0,1,1,2025,3,2025,12,2026,1
42,1,6,2061910,1,1,641001,1,25279,1579968,2,2,1,2017,1592946,12,0,0,1,1,3259,2,2,3,12518,98282,110800,4,0,0,0,2025,2,2025,8,2025,8
44,0,7,2484851,6,6,613001,3,24402,1952138,1,3,0,2012,849235,6,2,2,2,1,1467,2,3,4,190402,47971,238373,1,0,1,0,2025,11,2026,1,2026,2
50,0,7,1252463,2,2,624001,0,30906,1721105,1,3,7,2022,2047526,8,3,2,0,1,1932,3,1,2,7244,1161,8405,0,1,1,0,2025,5,2025,11,2025,12
31,0,3,1646628,4,4,625001,1,34690,742209,1,2,2,2017,1179437,12,0,3,1,0,4079,1,2,1,53101,98315,151416,2,0,1,1,2025,4,2026,2,2026,2
62,1,6,532576,9,9,632001,3,31146,1249406,1,1,11,2020,1773360,5,3,2,4,1,1624,1,1,0,15222,21197,36419,1,0,0,0,2025,1,2025,10,2025,10
22,1,8,2048382,2,2,624001,0,27548,2189617,1,2,10,2020,1384069,2,0,2,2,1,2621,0,0,3,64771,83556,148327,2,0,0,1,2025,2,2025,8,2025,8
71,1,0,1417880,6,6,613001,0,14467,1078049,2,3,8,2020,2193674,5,3,2,4,1,2006,3,0,3,75156,48956,124112,3,0,1,0,2025,3,2026,1,2026,1
28,0,8,661774,3,3,638001,2,24631,1065212,1,3,7,2024,921530,6,3,0,0,1,3930,0,0,0,54997,93901,148898,1,0,0,1,2025,10,2026,9,2026,9
22,0,1,590513,0,0,600001,1,26482,2741570,0,4,5,2023,1773042,11,0,3,1,1,2775,1,2,0,139154,67947,207101,4,0,1,0,2025,3,2025,4,2025,4
75,1,4,2085468,6,6,613001,2,36771,963413,1,4,6,2018,1481807,6,2,3,3,0,4079,3,1,0,212895,18629,231524,0,0,0,1,2025,10,2026,3,2026,3
